C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
4550.543237,-23558.12306,-27243.53991,10789.67738,4184.90133,17155.59313,57611.50554,46637.55432,-36804.77051,3214.304878,15329.78825,234985.8115,-8858.109756,41024.04324,-711.4356984,6745.456763,14800.25499,46855.24169,-33372.58093,-1018.631929,1
-5209.956763,-43446.12306,-173203.0399,48.17738359,-8382.09867,-45979.90687,-62762.99446,-18582.44568,-81487.27051,-6795.195122,22612.28825,525859.8115,-28086.10976,69520.04324,-3840.435698,-33724.04324,678.2549889,2001.741685,-73110.58093,-562.131929,0
-11220.45676,-76307.12306,-242677.0399,-12907.82262,-9501.09867,-36925.40687,-61649.99446,-146697.4457,-106743.7705,-5162.195122,-26588.71175,-527576.1885,-25340.10976,-73867.95676,-2060.435698,-15847.54324,-13488.24501,-23077.75831,-132214.5809,-1902.131929,0
560.5432373,32146.87694,-171001.0399,21801.67738,-9995.09867,88576.09313,59236.50554,80759.05432,32219.72949,1877.304878,22895.28825,207678.3115,-44332.10976,29336.04324,-899.9356984,-23331.54324,-5015.745011,-3020.258315,-103619.5809,-727.131929,0
-10738.95676,-95243.62306,-285337.0399,-5381.822616,-10621.09867,-125232.9069,-154117.9945,-113583.9457,-135307.2705,-2711.695122,-30893.21175,369011.3115,-16481.10976,-71844.45676,-2997.935698,-15926.54324,-1791.745011,-31587.25831,-102236.0809,-880.631929,0
1028.543237,-116183.1231,12716.46009,-8669.322616,-10620.59867,-62621.40687,10394.00554,2393.054324,51707.72949,-2279.695122,-622.7117517,-25138.68847,-53032.60976,-4979.956763,-3228.935698,-27167.54324,-6709.245011,-17673.75831,-128524.0809,-1829.631929,0
3759.043237,66062.37694,35503.96009,16534.17738,14698.90133,103323.5931,145787.0055,94993.55432,72591.72949,13729.80488,44303.28825,28106.81153,523.3902439,24689.54324,540.0643016,42351.45676,6283.254989,49104.74169,15599.91907,-36.63192905,0
-12214.45676,-43103.62306,-145055.5399,-8596.322616,-8454.09867,-90878.90687,-84002.99446,-123601.4457,-83430.77051,-1747.695122,-18136.21175,431471.3115,-1807.609756,-59776.95676,-1415.435698,2416.956763,5591.754989,11554.24169,-124151.5809,4317.868071,0
-9135.956763,-17712.62306,-311578.5399,-13543.32262,-5682.59867,-44161.90687,-46657.49446,-55510.44568,-154592.7705,-2623.695122,-17285.21175,242667.3115,-27056.60976,-15699.45676,-2492.435698,-22351.54324,-7924.745011,-4224.258315,-98107.08093,-1748.631929,1
-11267.45676,-45870.12306,-411042.5399,-13744.82262,-12992.09867,-85249.40687,-162894.9945,-125551.4457,-180382.2705,-13756.69512,-15956.71175,58022.81153,-57634.10976,-95390.95676,-4364.935698,-39905.54324,-15152.74501,-56425.25831,-165369.0809,727.368071,0
-9639.456763,132383.8769,185988.4601,14919.17738,-1801.09867,45659.09313,38523.50554,92537.05432,2295.72949,2649.304878,-8098.211752,-425729.1885,-9724.109756,65118.04324,-1484.435698,-14791.04324,-6044.245011,-18928.25831,104482.4191,-557.631929,0
-9530.456763,-35509.62306,-469291.0399,-8412.322616,-15523.09867,-19801.40687,-61346.49446,-48489.94568,16500.22949,-11920.69512,-5041.211752,884501.3115,16153.39024,73578.04324,-2356.435698,-11695.54324,-7141.245011,-39848.25831,115107.4191,836.368071,0
-10161.95676,-24924.62306,-40735.03991,-11904.32262,-7805.59867,-113947.9069,-32217.49446,75458.55432,-153331.7705,64.80487805,-9761.711752,-59353.68847,-35904.10976,64224.54324,-2098.435698,-14571.54324,-9174.245011,-13711.75831,594733.4191,-2257.631929,1
11178.04324,-129251.6231,-188628.5399,-22109.32262,-11094.09867,47482.59313,-96614.49446,-6981.945676,-182931.7705,-13778.69512,-20108.21175,76204.81153,207196.8902,18683.04324,-2369.935698,-38288.54324,3631.254989,68532.24169,-137942.0809,81.36807095,0
-10277.95676,-79773.62306,-197615.0399,1329.177384,-9775.09867,-20749.40687,-30235.99446,12634.55432,15022.72949,-6503.195122,-12417.71175,140309.8115,69326.39024,22856.04324,-1479.435698,4649.456763,-1219.245011,-13918.75831,78427.41907,-322.131929,0
-1470.456763,-13231.62306,-124062.0399,6189.177384,-4113.09867,-26415.90687,-8329.494457,-14486.44568,-59883.77051,-3229.695122,19873.28825,-234830.1885,24536.89024,42472.04324,1193.064302,883.9567627,-2550.245011,31432.74169,68876.41907,3395.368071,1
-6222.956763,71669.87694,-165683.5399,-1967.322616,-7533.59867,-122732.4069,-18277.99446,22610.55432,54707.22949,-4511.695122,17543.28825,941805.3115,61656.89024,12774.54324,-1069.935698,2706.456763,-259.2450111,-25615.75831,574710.4191,1847.868071,1
481.5432373,-47608.12306,-169345.0399,-20102.32262,6040.40133,15.09312639,-7348.994457,13221.55432,38334.72949,-14178.19512,-21676.21175,524070.8115,19751.39024,4778.043237,665.0643016,12027.95676,944.7549889,-6476.758315,8428.919069,-988.131929,0
-4064.456763,-91560.62306,-259138.5399,-18799.82262,-12894.09867,-126520.9069,-121920.4945,-50541.94568,-188814.7705,-12150.69512,-31886.71175,538475.8115,20985.39024,8643.043237,-3346.435698,-24178.54324,8324.254989,-6048.758315,-81810.08093,-1182.131929,1
-5425.956763,-19098.62306,-175551.5399,-3458.822616,-5890.09867,-2927.406874,-5790.994457,37484.05432,-21482.27051,-579.195122,836.2882483,306936.3115,-14224.10976,410.0432373,-2412.935698,7932.456763,-499.7450111,-11976.25831,-60069.58093,-1206.631929,0
-7325.956763,-109953.6231,-286114.0399,-6251.322616,-14130.09867,-89504.90687,-145009.9945,-67132.44568,-65340.27051,-10384.19512,-4686.211752,-111808.6885,16263.89024,-52896.95676,-3182.435698,1628.956763,-15957.74501,-11128.75831,-31238.58093,-310.131929,0
3502.043237,-1040.12306,-206452.0399,-5305.322616,-26.59866962,2796.593126,46058.50554,51710.55432,-22471.77051,-1597.195122,-13085.71175,74293.81153,71591.89024,27591.54324,114.5643016,3996.956763,-2112.745011,42976.74169,-5353.080931,-1265.631929,1
151.5432373,58762.87694,-69885.03991,-1398.822616,-3433.59867,-37055.90687,-26043.99446,-41001.94568,-89941.77051,-4519.195122,-18622.71175,320836.8115,94554.39024,38670.04324,-3150.935698,17688.45676,13499.25499,23150.74169,-39677.08093,-2370.631929,1
-1547.456763,-14471.62306,-237150.0399,14056.17738,-2452.59867,7953.093126,1945.005543,-82608.44568,15432.22949,-12567.19512,32538.28825,-479648.1885,-14654.10976,-16775.95676,-437.9356984,641.9567627,-1741.745011,50151.24169,-68425.58093,3523.868071,0
-5543.456763,-84036.12306,-244882.5399,-5432.322616,-6302.09867,-70208.40687,-111644.4945,-53553.44568,42939.22949,-6380.695122,-7602.711752,-487142.1885,66872.39024,20230.04324,-674.4356984,-1826.043237,-8274.245011,-2933.258315,-9852.080931,-541.631929,0
1303.043237,43809.37694,178124.9601,8099.677384,339.9013304,62968.09313,107945.5055,52115.05432,109776.7295,13409.30488,-1738.211752,-322832.1885,-10817.60976,-59126.45676,-1235.435698,-5566.043237,10998.75499,21431.24169,79040.41907,-1745.631929,1
-9807.456763,-105162.1231,-66949.03991,-8242.322616,-11126.59867,-35525.90687,-76362.49446,4498.554324,-103627.2705,-8307.695122,-24402.71175,-83408.68847,-19241.10976,-3922.456763,-4022.435698,-3393.543237,-2129.245011,1419.741685,149847.9191,-720.631929,0
1931.043237,-91277.62306,-103178.5399,-9198.822616,-15857.09867,-18457.40687,3054.005543,-14150.94568,-53961.27051,4347.304878,9180.788248,-320248.6885,-82585.10976,-46436.95676,-3482.435698,18739.95676,-4347.245011,10131.74169,-59596.58093,554.368071,0
-12578.45676,-15131.62306,-204335.0399,-15107.82262,-12311.09867,-100299.4069,-120863.4945,-152305.4457,-34138.27051,-10499.19512,-8991.711752,-137389.1885,-38402.60976,-34130.45676,-1693.435698,-12261.04324,-16977.74501,-37140.25831,-147010.5809,1272.368071,0
-3081.956763,10173.37694,-243597.0399,-6613.322616,-8334.09867,5079.093126,48275.00554,-16203.44568,116536.7295,-659.195122,-10287.71175,152832.8115,-4369.609756,-58139.45676,1290.564302,213.4567627,-2795.745011,-6915.258315,-68281.58093,-806.631929,0
-1549.456763,67631.37694,-188085.5399,-7731.322616,-7047.09867,186663.5931,20168.50554,69162.55432,130031.2295,-15338.19512,-9557.211752,265536.3115,5404.390244,-17005.95676,-1208.935698,-16643.04324,4199.754989,-10460.75831,-101171.0809,-652.631929,0
3023.043237,15640.87694,29726.46009,5163.177384,-5629.59867,20071.59313,100425.5055,99583.55432,376.22949,124.804878,7896.288248,164843.3115,-11848.60976,-23235.95676,-825.9356984,-18982.54324,5320.754989,-11875.25831,115452.9191,-1536.631929,0
-1760.456763,53810.87694,241233.4601,17373.67738,15455.90133,4885.593126,77475.00554,154888.5543,51448.72949,9668.804878,7884.788248,193230.3115,-24146.60976,-1386.456763,-1603.435698,34906.45676,15170.25499,19671.74169,-56277.58093,-711.631929,0
-18520.45676,-100028.1231,-188182.5399,-21216.82262,-11144.59867,-173339.9069,-128695.4945,-123070.4457,-156984.7705,-13136.69512,-38632.21175,323649.8115,-55757.10976,-71368.45676,-4411.935698,-14219.04324,-3919.245011,721.2416851,-179085.0809,4729.368071,0
-11328.95676,-56618.12306,-402041.0399,-20162.82262,-17055.59867,-142022.9069,-134751.9945,-35185.44568,-209938.2705,-13303.69512,-33725.21175,537643.3115,70816.39024,126744.5432,1376.564302,-26333.04324,1633.254989,-31714.75831,122519.9191,1597.368071,1
-4672.456763,-77758.62306,-249949.0399,-9016.322616,-16382.09867,45857.59313,-1428.994457,42807.05432,-106850.2705,-11065.69512,1660.788248,-101408.6885,-66954.60976,103549.0432,-2617.435698,-24831.54324,-19318.74501,-42382.25831,309807.9191,-337.631929,0
-2911.456763,-74038.12306,-60686.53991,-22114.32262,-7597.09867,1793.593126,-45261.99446,72126.05432,-40889.27051,-14626.19512,-44604.21175,72511.31153,-23390.60976,-26659.45676,-2388.435698,-29493.54324,-378.7450111,-17257.25831,-96645.08093,-784.631929,0
-11402.45676,-78521.62306,-202846.0399,-20374.32262,-13027.09867,-11381.40687,-114340.9945,-11080.94568,-125014.7705,-10227.69512,-31587.71175,43073.31153,-37390.10976,-21728.95676,-1806.435698,-13946.54324,-12718.24501,-19763.75831,-122659.0809,2056.368071,0
2725.543237,82597.37694,-51581.53991,3300.177384,-6318.09867,36361.59313,-18211.49446,23746.05432,-101142.2705,-7491.195122,5690.788248,-556757.1885,-42798.10976,-75710.95676,11.56430155,-50149.04324,-13664.74501,12577.74169,-121377.5809,-715.631929,0
-5318.956763,-132832.1231,65765.46009,-7161.322616,-2650.59867,-98654.90687,-106302.9945,-67038.44568,-102086.7705,1072.804878,-22139.21175,-479265.1885,-14918.10976,-24369.95676,-1976.435698,-21878.54324,-754.2450111,-8339.758315,-3077.080931,-450.631929,0
711.0432373,-79790.12306,-381713.0399,-1006.322616,-5566.59867,-107744.4069,-118843.9945,-184125.4457,1424.22949,-20309.19512,-5331.211752,-14516.68847,-39943.10976,-71236.95676,-2458.935698,-17553.04324,-14045.24501,20260.24169,-92633.08093,1520.868071,0
-7556.456763,-43138.12306,-79891.03991,-18365.82262,-4754.09867,-46748.90687,-111529.9945,-34843.44568,-145698.7705,-14586.69512,-12583.21175,-187929.1885,-44075.60976,-33625.45676,-2638.435698,-12124.04324,-2180.745011,-11870.25831,-140929.0809,992.868071,0
-3172.956763,-51617.12306,-405999.5399,-584.3226164,-5265.09867,-32594.40687,107034.0055,-3216.945676,159900.2295,-5462.695122,-11920.21175,46702.31153,35588.39024,-29626.45676,-273.4356984,21110.45676,-3159.245011,-15266.25831,-65984.58093,2400.868071,0
-7851.456763,-76073.12306,-443816.0399,-22347.82262,-13409.59867,-161709.9069,-183565.9945,-214973.9457,-258892.7705,-20359.69512,-16885.71175,-254553.1885,14001.89024,-31753.95676,-3876.435698,-10641.54324,-18974.74501,2418.241685,-73331.58093,-3307.631929,0
-3123.456763,-39083.12306,-459569.0399,-2103.822616,-9791.59867,2703.093126,-70877.99446,-65883.44568,-42288.27051,-3899.195122,2496.288248,31603.31153,-18508.10976,10459.04324,-2683.935698,13293.45676,-5777.245011,19769.24169,154075.9191,655.868071,0
-4958.956763,-86972.62306,-192202.0399,-3582.322616,-6933.09867,-39319.90687,-40898.49446,-60141.44568,-59789.27051,-6337.695122,12060.28825,177122.3115,1588.390244,-34414.95676,-2798.435698,12201.45676,-2548.745011,30736.74169,-155184.5809,1290.368071,0
-8134.956763,-7153.62306,-132947.5399,1897.177384,-7431.09867,29188.09313,-32081.49446,-55031.94568,32477.72949,-492.695122,265.7882483,-63339.68847,-11511.60976,-11332.95676,-72.43569845,11549.45676,-4564.245011,-18541.25831,-58070.58093,1254.368071,0
-7698.456763,-62931.12306,-27466.53991,-5725.322616,-8979.09867,-21932.90687,22385.00554,-66512.94568,75764.22949,-6411.695122,-21501.71175,-152840.1885,-49345.60976,-27102.45676,-3072.435698,35530.95676,-2981.745011,7149.241685,-82088.58093,-1822.631929,0
-14851.95676,16913.87694,-278520.5399,-15659.32262,-15167.59867,-54349.40687,-116240.4945,-119840.9457,103978.7295,-15903.19512,-3177.211752,317615.8115,-33539.10976,48802.54324,-3539.435698,-21723.04324,-12648.74501,-37111.75831,166728.9191,-681.131929,0
-5506.456763,-62435.12306,-133979.0399,-16131.32262,-6689.59867,-50861.90687,-49859.49446,-121315.4457,102977.7295,-11153.69512,-14913.21175,-189614.6885,3558.890244,-13201.95676,-1092.435698,1833.456763,-11636.24501,629.7416851,317839.4191,-1257.131929,0
-8664.456763,-41529.62306,-101424.0399,-11673.82262,-8341.59867,-13009.40687,-56339.49446,-29415.44568,-107663.7705,-4760.695122,-10675.71175,-178510.6885,27256.89024,-26266.95676,-2582.435698,-34094.04324,-5733.745011,-21126.25831,-84278.08093,-2411.131929,0
-3196.456763,-34463.62306,-73957.03991,-1592.822616,-4498.59867,-42601.90687,37366.00554,71151.05432,18070.22949,3774.304878,-1256.211752,-63370.68847,-59950.10976,-38678.95676,-393.4356984,-1874.543237,-11896.74501,-15904.25831,11633.91907,-2101.131929,0
1874.043237,-70757.12306,-98186.53991,5641.177384,-9512.59867,18298.59313,-32788.49446,-78671.44568,90350.22949,-10064.69512,9351.288248,-196520.1885,-14895.60976,-14926.95676,-2698.435698,11312.45676,-9528.745011,26045.24169,-91636.08093,2882.368071,0
-14045.95676,-20977.62306,-104173.5399,-10883.32262,-6388.09867,-89142.90687,-117962.9945,-133818.4457,-170231.2705,-8973.195122,-11552.71175,535255.8115,-1794.609756,-13264.95676,-4295.935698,-29564.54324,-11603.74501,-12412.25831,94589.41907,-1267.131929,0
-4827.956763,-107904.6231,-176695.5399,-3705.822616,-7312.09867,17713.09313,-38344.49446,-72228.94568,-105229.7705,-9517.695122,-26486.21175,-360148.6885,-13999.60976,-26864.45676,-2011.935698,3652.456763,-4911.745011,4583.741685,-4732.080931,-634.131929,0
-393.9567627,-64984.62306,-135379.5399,2625.677384,-11461.59867,114828.5931,-15473.49446,-14234.94568,-7807.27051,-6578.695122,2731.288248,-244841.6885,3249.890244,30505.04324,-2107.935698,-9949.543237,-5711.745011,23604.74169,-52619.58093,-1683.631929,0
-8339.956763,-58403.62306,-231188.0399,-1593.322616,-12593.09867,24125.59313,-9180.994457,27585.05432,-16395.27051,-4239.195122,-21878.21175,809061.8115,-47216.10976,6690.043237,-98.43569845,-5095.043237,-2689.245011,5324.241685,-71377.58093,-983.131929,1
-4221.456763,-593.6230599,-259167.5399,4442.177384,-11903.59867,59777.09313,-502.4944568,-74231.44568,373641.2295,-3808.195122,33150.78825,269046.3115,17102.89024,108353.5432,-2039.935698,-6206.043237,4888.754989,5469.241685,237473.9191,-1141.131929,0
1004.043237,-72545.62306,-206585.0399,-3857.322616,-6840.09867,85915.59313,14616.00554,13275.05432,20210.72949,-10357.69512,24970.78825,325829.8115,-28606.10976,-28754.45676,-2815.435698,35281.45676,8132.754989,19765.24169,-108504.5809,-462.131929,0
-353.9567627,-39392.62306,-79764.03991,4316.677384,-637.0986696,85088.09313,1103.005543,113080.0543,-132052.2705,-2872.195122,19193.28825,-311977.6885,13849.39024,-27492.95676,-1108.935698,-680.5432373,5669.754989,17891.24169,12051.91907,-902.631929,0
5703.043237,-51459.62306,-87713.03991,-49.32261641,-4387.59867,46296.09313,38895.00554,40352.05432,74314.72949,15448.30488,2774.288248,913663.8115,74366.89024,-54032.95676,-1392.435698,-7168.043237,-7360.745011,47665.74169,-57533.58093,-365.631929,0
-3541.956763,-88360.12306,-273532.5399,-17500.82262,-7349.09867,-61975.40687,-133648.9945,-26673.44568,-180710.2705,-19554.19512,-30442.21175,120920.8115,-25005.60976,34585.04324,-2765.935698,-1837.043237,-2031.245011,5316.241685,-83270.08093,-943.631929,0
14001.04324,22779.37694,-109676.0399,-437.3226164,727.4013304,94473.59313,113633.0055,19649.05432,-12644.77051,1271.304878,-13212.71175,-304174.6885,-42983.10976,21233.54324,1269.564302,-4350.543237,-6593.745011,52996.74169,129862.9191,-135.631929,0
1161.043237,-29145.12306,34279.46009,16505.17738,660.4013304,52197.09313,-30102.99446,18317.05432,16982.22949,-2147.695122,6471.788248,-103226.1885,17141.39024,20108.04324,-177.9356984,23704.45676,-1311.245011,11854.24169,-3194.580931,2325.868071,0
5714.043237,-106345.6231,-309529.5399,-3809.322616,-11838.59867,-87252.40687,-109825.9945,-26431.44568,-106748.2705,-9230.695122,212.7882483,-244479.6885,2453.890244,-16210.95676,-2645.435698,-16007.04324,9818.754989,4555.741685,-189966.5809,172.368071,1
8468.043237,82489.37694,-271759.5399,12219.67738,5222.90133,125550.5931,50462.50554,52530.55432,68720.22949,-407.695122,19069.78825,-129353.6885,37056.39024,-28118.45676,-2333.935698,-11115.04324,8699.754989,28152.24169,-51478.58093,-2420.131929,0
-25702.95676,-116428.1231,-88794.53991,-16095.32262,-3695.59867,-117958.4069,-117378.4945,-59853.44568,-328866.7705,-4847.695122,-51085.21175,-470292.6885,-49867.10976,-25967.95676,2674.064302,-36701.54324,-8855.745011,-13055.75831,-59441.08093,891.368071,0
-6533.456763,-32313.62306,-235717.0399,3995.677384,-9724.09867,-24028.40687,12632.00554,-3802.945676,182268.2295,9080.304878,18491.28825,504568.8115,-17494.10976,-28496.45676,1021.564302,-4877.043237,-15842.24501,-42158.75831,-54068.08093,-885.631929,0
-13627.95676,2219.37694,16349.46009,-10575.82262,-11102.59867,-69040.90687,-135802.9945,-86025.44568,-123281.7705,-8676.195122,-30809.21175,168311.3115,-69218.60976,-52229.95676,-2649.435698,-14984.54324,-4424.245011,-2654.758315,84905.41907,339.868071,1
-1661.956763,55057.37694,63618.46009,1267.677384,9365.40133,110217.5931,98233.00554,162071.5543,83789.72949,7930.804878,5829.288248,-161732.6885,-24893.10976,-34606.95676,-1504.935698,-6779.543237,3888.754989,-34096.25831,480898.4191,-3705.631929,0
-8063.456763,-32045.62306,-385273.0399,-16030.32262,-14616.59867,-55864.40687,-91603.99446,-106006.9457,-66957.27051,-13009.19512,16689.28825,359754.8115,-50312.60976,-70260.45676,-3409.435698,-21061.54324,-8249.245011,-7073.258315,-76234.08093,-1855.131929,0
-3819.956763,-107030.6231,-130732.5399,-8285.822616,-7320.59867,17612.09313,-8297.994457,4052.054324,14001.72949,-11498.19512,-23430.71175,158939.8115,-27234.10976,-42118.45676,850.0643016,-12233.04324,702.7549889,-16959.25831,-16965.08093,-715.631929,0
