C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
-0.249463191,0.100582116,-0.047980125,-0.162707372,-0.001519537,-0.025591952,-0.184000329,-0.085224144,-0.023442306,0.067815353,-0.221489746,-0.416132309,-0.376565136,-0.213104128,-0.799366504,-0.642576893,0.040756089,-0.079036582,-0.991064987,-0.315502713,1
0.117942955,-0.185281955,-0.093195188,-0.245987707,0.065392947,0.155146405,-0.069081606,-0.02618467,0.100508949,-0.138955072,0.061396842,0.12960643,-0.123263436,-0.298150418,-0.678019928,-0.495466057,-0.052101229,0.075532626,-0.853975906,-0.272451012,1
0.299139055,0.353791753,-0.109703416,-0.100803715,0.116226255,0.208022698,0.206458356,0.444391176,0.058376812,-0.017214192,0.019483096,-0.150647011,-0.061545415,-0.212824448,-0.356739933,-0.46569384,0.317077961,0.015827779,-0.69005257,-0.509920704,1
-0.283486591,0.171295161,-0.160491684,0.255574117,-0.067744453,0.055215055,0.007145494,-0.029858373,-0.057483279,0.061828244,-0.21174809,0.42947306,-0.268124085,-0.122609666,-0.590232258,-0.552845885,-0.065969824,-0.186922796,0.126076599,-0.159163326,1
0.005343027,0.649005156,-0.059878949,0.069034539,-0.021537186,-0.028358091,-0.119648657,-0.130328551,0.088132133,-0.077465903,-0.143589239,0.519708657,-0.104993715,-0.151429603,-0.2439755,-0.619153812,0.191282241,-0.11438752,-0.290541475,-0.308492316,1
0.012984518,0.640129354,-0.016606883,0.122768072,0.359644478,0.047927093,0.1794426,0.329592173,0.21830669,0.156453537,-0.081583145,0.064087136,0.343536597,-0.256897818,-0.139115899,-0.601460775,-0.149233371,-0.10455012,-1.017637082,-0.305608535,1
-0.282048892,-0.393745199,-0.125738517,-0.281749312,-0.131664162,-0.161142243,-0.136969522,-0.266183183,0.029384592,0.15273261,-0.337213567,-0.097910285,0.046264273,-0.214358772,-0.364271165,-0.52612901,-0.12816342,-0.140275217,-0.181700508,-0.453646868,1
0.422041811,0.246445104,-0.096009777,-0.089414287,0.209998476,0.261252396,0.318006806,0.528243455,0.174969306,-0.1227258,-0.050079228,-0.037051895,0.126160614,-0.174162322,-0.257934473,-0.533110525,-0.14148652,0.042084,2.603684864,-0.171898431,1
0.117964019,0.152562022,0.020756289,0.145555462,0.174650831,0.088965577,0.0626027,0.166028118,0.266207683,0.332431774,0.170382586,0.043261645,-0.165150979,-0.099321042,-0.49413945,-0.479490367,0.218524056,0.041817965,1.02251183,-0.208897225,1
0.180307329,0.729305567,0.246467074,0.02094493,0.142933559,0.163015846,-0.041312552,0.073587899,0.187633324,0.111138807,-0.097605975,-0.042655101,0.391581025,-0.201524534,-0.358114533,0.223571752,0.113285939,-0.001659777,0.218735568,-0.29014028,1
-0.113973236,-0.62409366,-0.213675796,-0.147993823,-0.212091986,0.241609437,-0.241238012,-0.387780813,0.183943721,0.094652787,-0.149565129,-0.101936492,-0.42587669,-0.244665584,-0.400188439,-0.612906235,-0.565400552,-0.027379267,0.793081771,-0.347204558,1
0.107641493,0.349888751,0.098945849,0.056917533,-0.046776849,0.108519984,-0.03593974,0.122663475,-0.059584955,-0.047045457,-0.205312018,-0.475307199,-0.101808839,-0.047100245,-0.451773364,-0.682685415,0.11397309,-0.025209629,0.426580775,0.032366288,1
-0.071086802,0.151149267,0.184060181,0.33571902,0.12583044,0.038674176,-0.055633816,0.149988459,-0.100330397,0.165049306,0.191367963,-0.216695496,-0.036540647,-0.047982487,-0.451674699,-0.443233035,0.555451823,-0.05727395,0.920778621,-0.298492066,1
0.116004397,0.283153641,0.111275205,-0.094943989,0.36815431,0.322666472,0.731760653,0.346226703,0.023706031,0.036177898,0.134788972,0.111249402,0.347574562,-0.176882302,-0.260186238,-0.229825036,0.32052774,0.169888373,2.3138889,0.024749309,1
-0.055331293,-0.461142354,0.381580999,0.081892366,0.035534579,-0.007165969,-0.08333724,-0.07089792,-0.090366213,0.065335068,0.285576262,-0.516635785,-0.096329089,0.289643494,0.025907991,1.8317791,-0.280998424,0.074354431,-0.575230824,-0.362054816,1
0.15159317,-0.322437135,-0.219133834,0.058913948,-0.177718568,-0.218913952,-0.039686296,-0.149268412,-0.086002136,-0.012340782,-0.015035563,-0.525144384,-0.039892928,0.666159736,-0.200392634,0.068834176,0.215053675,0.295930206,-0.226180289,1.654559482,1
0.076784968,-0.636062782,-0.097296242,-0.297550698,-0.263860109,-0.057631992,0.063747112,-0.003629225,-0.029471976,-0.360425723,-0.327254302,-0.561052257,0.276573367,0.448093483,-0.304161388,-0.669636129,-0.286425244,-0.047852312,0.333626092,-0.169913347,1
-0.379998418,0.037994022,0.274100717,0.18680465,-0.041235183,-0.176603175,0.02057424,-0.284160104,-0.019300484,0.159430565,0.354208908,0.236819801,0.039097988,0.743953044,1.109905548,6.853533862,0.056409625,0.153792745,0.588458952,2.339225265,1
-0.155569739,-0.179894093,-0.034831369,0.100536732,-0.196174057,-0.107617473,0.134131016,-0.218262362,-0.000592313,-0.030704972,0.007345106,-0.709683834,0.070001768,0.15972784,4.735198939,-0.099954665,-0.170030477,-0.057625462,-0.734362598,0.038062576,1
