C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
-1628070.175,-4350175.439,114035.0877,-658596.4912,-22722807.02,-32975438.6,-14578947.37,-383877.193,-4473684.211,1160000,-1647894.737,-3342280.702,-3538596.491,42877.19298,-862535.0877,-64210.52632,-419824.5614,-31421052.63,68337192.98,-168161.4035,1
771929.8246,-1340175.439,-985964.9123,1321403.509,11277192.98,8824561.404,32421052.63,200122.807,5026315.789,420000,812105.2632,-1762280.702,11061403.51,286877.193,-841635.0877,-784210.5263,-9824.561404,13578947.37,-14462807.02,-102861.4035,0
-2728070.175,-4350175.439,714035.0877,301403.5088,-20722807.02,-43075438.6,-27578947.37,-430877.193,-12973684.21,130000,-477894.7368,-1692280.702,2861403.509,-117122.807,-826135.0877,-224210.5263,-19824.5614,-19421052.63,-5962807.018,-142861.4035,1
-1228070.175,-2980175.439,-885964.9123,-1018596.491,7277192.982,10824561.4,10421052.63,10122.80702,3926315.789,-220000,172105.2632,-62280.70175,12861403.51,49877.19298,-715035.0877,1375789.474,-389824.5614,10578947.37,-35792807.02,-77861.40351,1
-4328070.175,159824.5614,414035.0877,-38596.49123,-38722807.02,-175438.5965,-23578947.37,-59877.19298,-1773684.211,-20000,122105.2632,-2352280.702,-12738596.49,-8122.807018,-683035.0877,835789.4737,-349824.5614,5578947.368,-9562807.018,-64861.40351,0
-2028070.175,-990175.4386,-85964.91228,1951403.509,-24722807.02,-40675438.6,-23578947.37,-339877.193,-8473684.211,-370000,2272105.263,-3592280.702,23161403.51,-96122.80702,-805035.0877,435789.4737,-249824.5614,-5421052.632,1137192.982,-119861.4035,0
-3728070.175,359824.5614,-4885964.912,1071403.509,-6722807.018,-4175438.596,-10578947.37,-39877.19298,3626315.789,-190000,-967894.7368,-1792280.702,-11038596.49,-213122.807,281964.9123,835789.4737,-169824.5614,-10421052.63,92337192.98,-46861.40351,0
2771929.825,559824.5614,7214035.088,311403.5088,13277192.98,80824561.4,421052.6316,190122.807,-3873684.211,910000,1832105.263,4047719.298,1061403.509,-217122.807,231964.9123,1505789.474,200175.4386,8578947.368,6637192.982,-69861.40351,1
-4528070.175,-3270175.439,814035.0877,-298596.4912,-30722807.02,17824561.4,-20578947.37,-375877.193,-3673684.211,150000,522105.2632,1317719.298,-7238596.491,-141122.807,441964.9123,-614210.5263,170175.4386,-8421052.632,-5462807.018,-116861.4035,1
771929.8246,2359824.561,4914035.088,841403.5088,-22722807.02,17824561.4,-21578947.37,-89877.19298,-873684.2105,20000,372105.2632,-3422280.702,-12138596.49,43877.19298,901964.9123,-524210.5263,-79824.5614,1578947.368,-25662807.02,-110861.4035,1
